agency,agency_name
311,HIQA
DCWP,Department of Consumer and Worker Protection
DEP,Department of Environmental Protection
DHS,Department of Homeless Services
DOB,Department of Buildings
DOE,Department of Education
DOHMH,Department of Health and Mental Hygiene
DOT,Department of Transportation
DPR,Department of Parks and Recreation
DSNY,Department of Sanitation
EDC,Economic Development Corporation
HPD,Department of Housing Preservation and Development
NYPD,New York City Police Department
OOS,Office of the Sheriff
OTI,Office of Technology and Innovation
TLC,Taxi and Limousine Commission
UNKNOWN,Unknown agency
