complaint_key,category,category_sort
ABANDONED BIKE,Sanitation & Cleanliness,6
ABANDONED VEHICLE,Parking & Traffic,5
ADOPT-A-BASKET,Sanitation & Cleanliness,6
AHV INSPECTION UNIT,Buildings & Construction,3
AIR QUALITY,Environmental Protection,7
ANIMAL FACILITY - NO PERMIT,Public Health,8
ANIMAL IN A PARK,Parks & Trees,9
ANIMAL-ABUSE,Public Order,10
APPLIANCE,Housing Conditions,2
ASBESTOS,Environmental Protection,7
BEACH/POOL/SAUNA COMPLAINT,Public Health,8
BENCH,Street Infrastructure,4
BEST/SITE SAFETY,Buildings & Construction,3
BIKE RACK,Street Infrastructure,4
BIKE RACK CONDITION,Street Infrastructure,4
BIKE/ROLLER/SKATE,Public Order,10
BIKE/ROLLER/SKATE CHRONIC,Public Order,10
BLOCKED DRIVEWAY,Parking & Traffic,5
BOILERS,Buildings & Construction,3
BOROUGH OFFICE,Buildings & Construction,3
BRIDGE CONDITION,Street Infrastructure,4
BROKEN PARKING METER,Street Infrastructure,4
BUILDING CONDITION,Buildings & Construction,3
BUILDING DRINKING WATER TANK,Public Health,8
BUILDING MARSHALS OFFICE,Buildings & Construction,3
BUILDING/USE,Buildings & Construction,3
BUS STOP SHELTER COMPLAINT,Street Infrastructure,4
BUS STOP SHELTER PLACEMENT,Street Infrastructure,4
CALORIE LABELING,Public Health,8
CANNABIS RETAILER,Consumer & Licensing,12
COMMERCIAL DISPOSAL COMPLAINT,Sanitation & Cleanliness,6
CONSTRUCTION LEAD DUST,Public Health,8
CONSTRUCTION SAFETY ENFORCEMENT,Buildings & Construction,3
CONSUMER COMPLAINT,Consumer & Licensing,12
COOLING TOWER,Public Health,8
CRANES AND DERRICKS,Buildings & Construction,3
CURB CONDITION,Street Infrastructure,4
DAMAGED TREE,Parks & Trees,9
DAY CARE,Public Health,8
DEAD ANIMAL,Sanitation & Cleanliness,6
DEAD/DYING TREE,Parks & Trees,9
DEP HIGHWAY CONDITION,Street Infrastructure,4
DEP SIDEWALK CONDITION,Street Infrastructure,4
DEP STREET CONDITION,Street Infrastructure,4
DEPT OF INVESTIGATIONS,Buildings & Construction,3
DERELICT VEHICLES,Sanitation & Cleanliness,6
DIRTY CONDITION,Sanitation & Cleanliness,6
DISORDERLY YOUTH,Public Order,10
DISPATCHED TAXI COMPLAINT,Consumer & Licensing,12
DOB POSTED NOTICE OR ORDER,Buildings & Construction,3
DOOR/WINDOW,Housing Conditions,2
DRINKING,Public Order,10
DRINKING WATER,Public Health,8
DRUG ACTIVITY,Public Order,10
DRY WEATHER DISCHARGE,Environmental Protection,7
DSNY INTERNAL,Sanitation & Cleanliness,6
DUMPSTER COMPLAINT,Sanitation & Cleanliness,6
E-SCOOTER,Street Infrastructure,4
ELECTRIC,Housing Conditions,2
ELECTRICAL,Buildings & Construction,3
ELECTRONICS WASTE APPOINTMENT,Sanitation & Cleanliness,6
ELEVATOR,Buildings & Construction,3
EMERGENCY RESPONSE TEAM (ERT),Buildings & Construction,3
ENCAMPMENT,Homelessness,11
EXECUTIVE INSPECTIONS,Buildings & Construction,3
