category,baseline_valid_rows,p50_minutes,p75_minutes,p90_minutes,baseline_start,baseline_end,as_of
Noise,613075,37.0,82.0,235.0,2023-09-01,2024-08-31,2026-09-20T01:51:01
Housing Conditions,740562,6076.0,21419.0,61769.0,2023-09-01,2024-08-31,2026-09-20T01:51:01
Buildings & Construction,88696,29182.5,89983.0,221091.0,2023-09-01,2024-08-31,2026-09-20T01:51:01
Street Infrastructure,188970,2906.0,10861.0,25854.100000000006,2023-09-01,2024-08-31,2026-09-20T01:51:01
Parking & Traffic,749352,76.0,187.0,398.0,2023-09-01,2024-08-31,2026-09-20T01:51:01
Sanitation & Cleanliness,304414,2128.0,5445.0,13540.400000000023,2023-09-01,2024-08-31,2026-09-20T01:51:01
Environmental Protection,168163,1440.0,5413.0,12631.0,2023-09-01,2024-08-31,2026-09-20T01:51:01
Public Health,52692,16835.5,266034.25,356211.8,2023-09-01,2024-08-31,2026-09-20T01:51:01
Parks & Trees,108686,20318.0,152275.75,433144.5,2023-09-01,2024-08-31,2026-09-20T01:51:01
Public Order,88875,32.0,74.0,186.0,2023-09-01,2024-08-31,2026-09-20T01:51:01
Homelessness,50090,47.0,288.0,2754.199999999997,2023-09-01,2024-08-31,2026-09-20T01:51:01
Consumer & Licensing,53782,57777.0,128520.75,192890.90000000002,2023-09-01,2024-08-31,2026-09-20T01:51:01
