Fiscal Year,Year Month,Borough,Time View,Is FY Total,Is Month Total,Check Row,Requests,Requests (Daily)
,,BRONX,Current,TRUE,TRUE,1,1667818,1667818
,,BRONX,FYTD,TRUE,TRUE,1,138478,
,,BRONX,PY,TRUE,TRUE,1,,
,,BRONX,YoY %,TRUE,TRUE,1,,
,,BROOKLYN,Current,TRUE,TRUE,1,2264753,2264753
,,BROOKLYN,FYTD,TRUE,TRUE,1,208781,
,,BROOKLYN,PY,TRUE,TRUE,1,,
,,BROOKLYN,YoY %,TRUE,TRUE,1,,
,,MANHATTAN,Current,TRUE,TRUE,1,1491376,1491376
,,MANHATTAN,FYTD,TRUE,TRUE,1,124785,
,,MANHATTAN,PY,TRUE,TRUE,1,,
,,MANHATTAN,YoY %,TRUE,TRUE,1,,
,,QUEENS,Current,TRUE,TRUE,1,1822506,1822506
,,QUEENS,FYTD,TRUE,TRUE,1,171753,
,,QUEENS,PY,TRUE,TRUE,1,,
,,QUEENS,YoY %,TRUE,TRUE,1,,
,,STATEN ISLAND,Current,TRUE,TRUE,1,289834,289834
,,STATEN ISLAND,FYTD,TRUE,TRUE,1,27313,
,,STATEN ISLAND,PY,TRUE,TRUE,1,,
,,STATEN ISLAND,YoY %,TRUE,TRUE,1,,
,,UNKNOWN,Current,TRUE,TRUE,1,6319,6319
,,UNKNOWN,FYTD,TRUE,TRUE,1,827,
,,UNKNOWN,PY,TRUE,TRUE,1,,
,,UNKNOWN,YoY %,TRUE,TRUE,1,,
FY2024,,BRONX,Current,FALSE,TRUE,1,,
FY2024,,BRONX,FYTD,FALSE,TRUE,1,,
FY2024,,BRONX,PY,FALSE,TRUE,1,,
FY2024,,BRONX,YoY %,FALSE,TRUE,1,,
FY2024,,BROOKLYN,Current,FALSE,TRUE,1,,
FY2024,,BROOKLYN,FYTD,FALSE,TRUE,1,,
FY2024,,BROOKLYN,PY,FALSE,TRUE,1,,
FY2024,,BROOKLYN,YoY %,FALSE,TRUE,1,,
FY2024,,MANHATTAN,Current,FALSE,TRUE,1,,
FY2024,,MANHATTAN,FYTD,FALSE,TRUE,1,,
FY2024,,MANHATTAN,PY,FALSE,TRUE,1,,
FY2024,,MANHATTAN,YoY %,FALSE,TRUE,1,,
FY2024,,QUEENS,Current,FALSE,TRUE,1,,
FY2024,,QUEENS,FYTD,FALSE,TRUE,1,,
FY2024,,QUEENS,PY,FALSE,TRUE,1,,
FY2024,,QUEENS,YoY %,FALSE,TRUE,1,,
FY2024,,STATEN ISLAND,Current,FALSE,TRUE,1,,
FY2024,,STATEN ISLAND,FYTD,FALSE,TRUE,1,,
FY2024,,STATEN ISLAND,PY,FALSE,TRUE,1,,
FY2024,,STATEN ISLAND,YoY %,FALSE,TRUE,1,,
FY2024,,UNKNOWN,Current,FALSE,TRUE,1,,
FY2024,,UNKNOWN,FYTD,FALSE,TRUE,1,,
FY2024,,UNKNOWN,PY,FALSE,TRUE,1,,
FY2024,,UNKNOWN,YoY %,FALSE,TRUE,1,,
FY2024,2024-01,BRONX,Current,FALSE,FALSE,1,,
FY2024,2024-01,BRONX,FYTD,FALSE,FALSE,1,,
FY2024,2024-01,BRONX,PY,FALSE,FALSE,1,,
FY2024,2024-01,BRONX,YoY %,FALSE,FALSE,1,,
FY2024,2024-01,BROOKLYN,Current,FALSE,FALSE,1,,
FY2024,2024-01,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2024,2024-01,BROOKLYN,PY,FALSE,FALSE,1,,
FY2024,2024-01,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2024,2024-01,MANHATTAN,Current,FALSE,FALSE,1,,
FY2024,2024-01,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2024,2024-01,MANHATTAN,PY,FALSE,FALSE,1,,
FY2024,2024-01,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2024,2024-01,QUEENS,Current,FALSE,FALSE,1,,
FY2024,2024-01,QUEENS,FYTD,FALSE,FALSE,1,,
FY2024,2024-01,QUEENS,PY,FALSE,FALSE,1,,
FY2024,2024-01,QUEENS,YoY %,FALSE,FALSE,1,,
FY2024,2024-01,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2024,2024-01,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2024,2024-01,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2024,2024-01,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2024,2024-01,UNKNOWN,Current,FALSE,FALSE,1,,
FY2024,2024-01,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2024,2024-01,UNKNOWN,PY,FALSE,FALSE,1,,
FY2024,2024-01,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2024,2024-02,BRONX,Current,FALSE,FALSE,1,,
FY2024,2024-02,BRONX,FYTD,FALSE,FALSE,1,,
FY2024,2024-02,BRONX,PY,FALSE,FALSE,1,,
FY2024,2024-02,BRONX,YoY %,FALSE,FALSE,1,,
FY2024,2024-02,BROOKLYN,Current,FALSE,FALSE,1,,
FY2024,2024-02,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2024,2024-02,BROOKLYN,PY,FALSE,FALSE,1,,
FY2024,2024-02,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2024,2024-02,MANHATTAN,Current,FALSE,FALSE,1,,
FY2024,2024-02,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2024,2024-02,MANHATTAN,PY,FALSE,FALSE,1,,
FY2024,2024-02,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2024,2024-02,QUEENS,Current,FALSE,FALSE,1,,
FY2024,2024-02,QUEENS,FYTD,FALSE,FALSE,1,,
FY2024,2024-02,QUEENS,PY,FALSE,FALSE,1,,
FY2024,2024-02,QUEENS,YoY %,FALSE,FALSE,1,,
FY2024,2024-02,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2024,2024-02,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2024,2024-02,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2024,2024-02,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2024,2024-02,UNKNOWN,Current,FALSE,FALSE,1,,
FY2024,2024-02,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2024,2024-02,UNKNOWN,PY,FALSE,FALSE,1,,
FY2024,2024-02,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2024,2024-03,BRONX,Current,FALSE,FALSE,1,,
FY2024,2024-03,BRONX,FYTD,FALSE,FALSE,1,,
FY2024,2024-03,BRONX,PY,FALSE,FALSE,1,,
FY2024,2024-03,BRONX,YoY %,FALSE,FALSE,1,,
FY2024,2024-03,BROOKLYN,Current,FALSE,FALSE,1,,
FY2024,2024-03,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2024,2024-03,BROOKLYN,PY,FALSE,FALSE,1,,
FY2024,2024-03,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2024,2024-03,MANHATTAN,Current,FALSE,FALSE,1,,
FY2024,2024-03,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2024,2024-03,MANHATTAN,PY,FALSE,FALSE,1,,
FY2024,2024-03,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2024,2024-03,QUEENS,Current,FALSE,FALSE,1,,
FY2024,2024-03,QUEENS,FYTD,FALSE,FALSE,1,,
FY2024,2024-03,QUEENS,PY,FALSE,FALSE,1,,
FY2024,2024-03,QUEENS,YoY %,FALSE,FALSE,1,,
FY2024,2024-03,STATEN ISLAND,Current,FALSE,FALSE,1,,
FY2024,2024-03,STATEN ISLAND,FYTD,FALSE,FALSE,1,,
FY2024,2024-03,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2024,2024-03,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2024,2024-03,UNKNOWN,Current,FALSE,FALSE,1,,
FY2024,2024-03,UNKNOWN,FYTD,FALSE,FALSE,1,,
FY2024,2024-03,UNKNOWN,PY,FALSE,FALSE,1,,
FY2024,2024-03,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2024,2024-04,BRONX,Current,FALSE,FALSE,1,,
FY2024,2024-04,BRONX,FYTD,FALSE,FALSE,1,,
FY2024,2024-04,BRONX,PY,FALSE,FALSE,1,,
FY2024,2024-04,BRONX,YoY %,FALSE,FALSE,1,,
FY2024,2024-04,BROOKLYN,Current,FALSE,FALSE,1,,
FY2024,2024-04,BROOKLYN,FYTD,FALSE,FALSE,1,,
FY2024,2024-04,BROOKLYN,PY,FALSE,FALSE,1,,
FY2024,2024-04,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2024,2024-04,MANHATTAN,Current,FALSE,FALSE,1,,
FY2024,2024-04,MANHATTAN,FYTD,FALSE,FALSE,1,,
FY2024,2024-04,MANHATTAN,PY,FALSE,FALSE,1,,
FY2024,2024-04,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2024,2024-04,QUEENS,Current,FALSE,FALSE,1,,
FY2024,2024-04,QUEENS,FYTD,FALSE,FALSE,1,,
FY2024,2024-04,QUEENS,PY,FALSE,FALSE,1,,
FY2024,2024-04,QUEENS,YoY %,FALSE,FALSE,1,,
