Year Month,Channel,Requests,Requests Closed,Digital Share
2024-09,MOBILE,78869,73390,1
2024-09,ONLINE,120340,104587,1
2024-09,PHONE,86603,71423,0
2024-09,UNKNOWN,20958,12258,0
2024-10,MOBILE,69887,66408,1
2024-10,ONLINE,123527,114908,1
2024-10,PHONE,92385,86074,0
2024-10,UNKNOWN,21004,15943,0
2024-11,MOBILE,67879,64667,1
2024-11,ONLINE,114335,103624,1
2024-11,OTHER,9,8,0
2024-11,PHONE,92169,84266,0
2024-11,UNKNOWN,19123,16067,0
2024-12,MOBILE,74736,72227,1
2024-12,ONLINE,128172,121316,1
2024-12,OTHER,3,1,0
2024-12,PHONE,88905,84022,0
2024-12,UNKNOWN,22133,18993,0
2025-01,MOBILE,101436,104677,1
2025-01,ONLINE,136626,133124,1
2025-01,OTHER,1,,0
2025-01,PHONE,89434,84361,0
2025-01,UNKNOWN,20683,19766,0
2025-02,MOBILE,54152,53122,1
2025-02,ONLINE,109543,105993,1
2025-02,OTHER,1,1,0
2025-02,PHONE,70703,68473,0
2025-02,UNKNOWN,20965,19527,0
2025-03,MOBILE,60671,59315,1
2025-03,ONLINE,122761,120787,1
2025-03,PHONE,74948,76065,0
2025-03,UNKNOWN,22841,20654,0
2025-04,MOBILE,58027,56514,1
2025-04,ONLINE,116189,113365,1
2025-04,OTHER,3,4,0
2025-04,PHONE,76894,75974,0
2025-04,UNKNOWN,21436,20516,0
2025-05,MOBILE,63877,62904,1
2025-05,ONLINE,127809,130603,1
2025-05,OTHER,6,7,0
2025-05,PHONE,81096,82266,0
2025-05,UNKNOWN,22270,20701,0
2025-06,MOBILE,66971,66886,1
2025-06,ONLINE,129725,126403,1
2025-06,OTHER,4,2,0
2025-06,PHONE,85337,80807,0
2025-06,UNKNOWN,24405,22693,0
2025-07,MOBILE,65239,64722,1
2025-07,ONLINE,132602,127202,1
2025-07,OTHER,4,2,0
2025-07,PHONE,94289,86803,0
2025-07,UNKNOWN,23749,22436,0
2025-08,MOBILE,65738,64567,1
2025-08,ONLINE,136449,137144,1
2025-08,OTHER,3,4,0
2025-08,PHONE,80010,85547,0
2025-08,UNKNOWN,21839,20130,0
2025-09,MOBILE,72816,72726,1
2025-09,ONLINE,133578,134697,1
2025-09,OTHER,10,5,0
2025-09,PHONE,75344,79869,0
2025-09,UNKNOWN,20936,18642,0
2025-10,MOBILE,83472,83466,1
2025-10,ONLINE,140071,134141,1
2025-10,OTHER,14,12,0
2025-10,PHONE,87696,82013,0
2025-10,UNKNOWN,25359,24305,0
2025-11,MOBILE,74938,74830,1
2025-11,ONLINE,126592,122740,1
2025-11,OTHER,7,7,0
2025-11,PHONE,84360,80594,0
2025-11,UNKNOWN,19008,19334,0
2025-12,MOBILE,88719,89644,1
2025-12,ONLINE,152799,144846,1
2025-12,OTHER,9,4,0
2025-12,PHONE,69937,67640,0
2025-12,UNKNOWN,20639,22368,0
2026-01,MOBILE,66724,62426,1
2026-01,ONLINE,185220,157597,1
2026-01,OTHER,11,7,0
2026-01,PHONE,76287,63033,0
2026-01,UNKNOWN,20269,19953,0
2026-02,MOBILE,60612,62378,1
2026-02,ONLINE,169903,178769,1
2026-02,OTHER,15,10,0
2026-02,PHONE,76677,75052,0
2026-02,UNKNOWN,27483,26338,0
2026-03,MOBILE,67232,66615,1
2026-03,ONLINE,149618,150644,1
2026-03,OTHER,46,16,0
2026-03,PHONE,78133,77761,0
2026-03,UNKNOWN,47359,42607,0
2026-04,MOBILE,62264,61085,1
2026-04,ONLINE,136291,138895,1
2026-04,OTHER,62,30,0
2026-04,PHONE,72351,76764,0
2026-04,UNKNOWN,31223,34613,0
2026-05,MOBILE,70183,68143,1
2026-05,ONLINE,152407,151474,1
2026-05,OTHER,142,77,0
2026-05,PHONE,80606,79864,0
2026-05,UNKNOWN,28641,29266,0
2026-06,MOBILE,71124,70039,1
2026-06,ONLINE,154845,152106,1
2026-06,OTHER,263,132,0
2026-06,PHONE,79293,81696,0
2026-06,UNKNOWN,29308,28965,0
2026-07,MOBILE,65170,64449,1
2026-07,ONLINE,169358,162713,1
2026-07,OTHER,1511,1135,0
2026-07,PHONE,76077,70118,0
2026-07,UNKNOWN,30993,30493,0
2026-08,MOBILE,61463,60219,1
2026-08,ONLINE,167030,155562,1
2026-08,OTHER,,545,
2026-08,PHONE,71479,63421,0
2026-08,UNKNOWN,28856,30043,0
