Agency,Requests,Median Hours,P25 Hours,P75 Hours,P90 Hours,Median Hours (Mature),Without Valid Close,Benchmark Eligible,SLA Met % (Benchmark),SLA Breach Rate,SLA Met % (What-if default),Agency Rank,Unmatched Complaint Rows,Carry-in Rows
311,371,42.35,20.616666666666667,170.06666666666666,541.6833333333333,42.35,,371,0.7547169811320755,0.24528301886792453,0.6684636118598383,5,,1
DCWP,38674,140.89166666666668,27,735.6333333333333,786.2166666666667,143.38333333333333,687,37986,0.9933133259621966,0.006686674037803401,0.4255515189806771,8,,2049
DEP,424376,26.066666666666666,5.05,99.96666666666667,259.9166666666667,26.1,7159,380262,0.722407182416334,0.277592817583666,0.6869894967154225,3,,3889
DHS,101941,7.483333333333333,2.75,26.533333333333335,234.03666666666638,7.591666666666667,17967,83959,0.3959432580187949,0.6040567419812051,0.8241879965221119,2,,30101
DOB,219243,343.28333333333336,53.166666666666664,1429.4,3674.8733333333344,348.98333333333335,,188495,0.7526884002228176,0.24731159977718242,0.2992174858749569,12,,18031
DOE,2987,295.8833333333333,28.541666666666668,2045.4583333333333,5161.043333333334,295.8833333333333,,2783,0.6992454186130076,0.30075458138699246,0.35537190082644626,10,,336
DOHMH,169642,305.2583333333333,32.9,1440.1833333333334,1441.3833333333334,315.19166666666666,12153,118890,0.9945075279670283,0.005492472032971655,0.35101354192951467,11,,20237
DOT,485153,60.3,15.566666666666666,201.86666666666667,432.76833333333394,59.9,20561,433890,0.7201894489386711,0.2798105510613289,0.5359630321049114,6,,11535
DPR,244375,167.61666666666667,25.916666666666668,908.675,3044.7033333333343,168.93333333333334,53600,186943,0.8805411275094548,0.11945887249054525,0.37255206132350505,9,,61841
DSNY,688054,34.36666666666667,15.283333333333333,79.81666666666666,171.38333333333333,34.13333333333333,7419,680066,0.7709442907011966,0.22905570929880334,0.7120000117635641,4,,5821
EDC,37178,4374.45,3338.2625,7802.020833333333,8378.166666666666,4374.45,19198,16572,0,1,0,16,,10935
HPD,1634610,91,41.88333333333333,333.8833333333333,910.9,90.06666666666666,34661,1597979,0.7632684784969014,0.2367315215030986,0.431468123173083,7,,25803
NYPD,3415756,1.3333333333333333,0.5833333333333334,3.2666666666666666,7,1.3333333333333333,592,3401118,0.5890036746740337,0.41099632532596636,0.9992534807672065,1,,704
OOS,4127,1034.2833333333333,856.225,1361.3583333333333,1918.6899999999998,1040.4166666666667,500,3627,0.9539564378274056,0.04604356217259443,0.02481389578163772,15,,
OTI,439,339.1,182.46666666666667,524.5291666666667,769.0116666666667,355.18333333333334,24,414,0.24879227053140096,0.751207729468599,0.1280193236714976,13,,23
TLC,75680,981.0416666666666,108.17916666666666,2892.3541666666665,4870.994999999999,985.8666666666667,24391,50960,0.6662087912087912,0.33379120879120877,0.21077315541601255,14,,10211
