Unique Key,Created Date,Created Hour,Closed Date,Closed Valid,Resolution Minutes,Valid For Resolution,Backlog Eligible,Backlog Exit Date,Backlog Exit,Status,Agency,Complaint Key,Descriptor,Borough,Channel,ZIP,Age Band Key,Breach Flag,R02,R03,R05,R06,R07,R12,R13,R18
62293950,2024-09-01,19,2024-09-11,TRUE,13233,TRUE,TRUE,2024-09-11,Closed,Closed,DOB,ELEVATOR,ELEVATOR - SINGLE DEVICE ON PROPERTY/NO ALTERNATE SERVICE,MANHATTAN,UNKNOWN,10030,0,0,,,,day_precision,,,,
62294550,2024-09-01,9,,FALSE,,FALSE,FALSE,,,Closed,DHS,HOMELESS PERSON ASSISTANCE,(NONE),MANHATTAN,ONLINE,10007,0,,,missing,,,status_conflict,,,
62314500,2024-09-03,0,2024-09-03,TRUE,0,FALSE,TRUE,2024-09-03,Closed,Closed,DOHMH,FOOD POISONING,1 OR 2,MANHATTAN,PHONE,10036,0,,,,zero,,,,,
62332700,2024-09-04,14,,FALSE,,FALSE,TRUE,2025-09-05,Aged out,Assigned,DOT,STREET LIGHT CONDITION,STREET LIGHT OUT,QUEENS,UNKNOWN,11378,5,,,missing,,,,,,
62343200,2024-09-05,13,2024-09-05,TRUE,312,TRUE,TRUE,2024-09-05,Closed,Closed,NYPD,ABANDONED VEHICLE,WITH LICENSE PLATE,UNKNOWN,PHONE,11208,0,1,,,,,,unknown,,
62458075,2024-09-15,16,2024-09-21,TRUE,8798,TRUE,TRUE,2024-09-21,Closed,Closed,HPD,ELEVATOR,MAINTENANCE,BROOKLYN,ONLINE,11226,0,0,,,,,,,,
62530300,2024-09-22,16,2024-09-23,TRUE,566,TRUE,TRUE,2024-09-23,Closed,Closed,DSNY,GRAFFITI,GRAFFITI,QUEENS,UNKNOWN,UNKNOWN,0,0,,,,,,,missing,
62804925,2024-10-18,12,,FALSE,,FALSE,TRUE,2025-10-19,Aged out,Pending,DOT,STREET LIGHT CONDITION,STREET LIGHT OUT,BRONX,UNKNOWN,10455,5,,,negative,,,,,,open_invalid_close
63434975,2024-12-17,14,2025-12-18,TRUE,526171,FALSE,TRUE,2025-12-18,Aged out,Closed,DOB,BUILDING/USE,ILLEGAL CONVERSION OF RESIDENTIAL BUILDING/SPACE,QUEENS,UNKNOWN,11435,0,,,,over_1y,day_precision,,,,
63528478,2024-12-26,14,2025-01-26,TRUE,44035,TRUE,TRUE,2025-01-26,Closed,Closed,DCWP,CONSUMER COMPLAINT,DEBT COLLECTION AGENCY,UNKNOWN,ONLINE,UNKNOWN,0,0,,,,,,unknown,invalid,
63557325,2024-12-29,19,2026-02-02,TRUE,575555,FALSE,TRUE,2025-12-30,Aged out,Closed,DPR,DAMAGED TREE,BRANCH CRACKED AND WILL FALL,BROOKLYN,ONLINE,11209,0,,,,over_1y,,,,,
64345550,2025-03-12,6,,FALSE,,FALSE,FALSE,,,Closed,DOT,STREET CONDITION,POTHOLE,BROOKLYN,UNKNOWN,11234,0,,,negative,,,status_conflict,,,
64410145,2025-03-20,0,2026-03-20,TRUE,525600,TRUE,TRUE,2026-03-20,Closed,Closed,DOHMH,FOOD POISONING,1 OR 2,MANHATTAN,ONLINE,10036,0,1,,,,,,,,
65582750,2025-07-17,18,2026-07-17,TRUE,525534,TRUE,TRUE,2026-07-17,Closed,Closed,EDC,NOISE - HELICOPTER,OTHER,MANHATTAN,ONLINE,10023,0,1,,,,,,,,
65583800,2025-07-17,8,2026-07-17,TRUE,526171,FALSE,TRUE,2026-07-17,Closed,Closed,EDC,NOISE - HELICOPTER,OTHER,MANHATTAN,ONLINE,10038,0,,,,over_1y,,,,,
65727775,2025-08-01,9,2025-10-09,TRUE,99022,TRUE,TRUE,2025-10-09,Closed,Closed,DCWP,CONSUMER COMPLAINT,DEBT COLLECTION AGENCY,UNKNOWN,ONLINE,UNKNOWN,0,0,,,,,,unknown,invalid,
65999375,2025-08-30,23,,FALSE,,FALSE,TRUE,2026-08-31,Aged out,Assigned,DOT,STREET LIGHT CONDITION,STREET LIGHT OUT,QUEENS,UNKNOWN,11427,5,,,missing,,,,,,
66003875,2025-08-31,23,,FALSE,,FALSE,TRUE,,,In Progress,TLC,TAXI REPORT,DRIVER REPORT - PASSENGER,QUEENS,ONLINE,11368,4,,,missing,,,,,,
67996481,2026-02-14,9,,FALSE,,FALSE,FALSE,,,Closed,DOT,TRAFFIC SIGNAL CONDITION,APS,QUEENS,UNKNOWN,11101,0,,,after_as_of,,,status_conflict,,,
68348725,2026-03-17,0,2026-04-09,TRUE,33682,TRUE,TRUE,2026-04-09,Closed,Closed,311,STREET CONDITION,PLATE CONDITION - NOISY,MANHATTAN,PHONE,10016,0,1,,,,,,,,
68884950,2026-05-04,18,2026-05-04,TRUE,1,TRUE,TRUE,2026-05-04,Closed,Closed,DEP,WATER SYSTEM,LEAK (USE COMMENTS) (WA2),BROOKLYN,ONLINE,11220,0,0,,,,,,,,
69205750,2026-06-01,11,2026-08-17,TRUE,110179,TRUE,TRUE,2026-08-17,Closed,Closed,DOB,BUILDING MARSHALS OFFICE,TENANT SAFETY INSPECTION,BROOKLYN,UNKNOWN,11229,0,1,,,,day_precision,,,,
69219000,2026-06-02,6,,FALSE,,FALSE,TRUE,,,In Progress,DPR,NEW TREE REQUEST,FOR ONE ADDRESS,QUEENS,ONLINE,11435,3,,,missing,,,,,,
69542000,2026-06-30,9,2026-06-30,TRUE,198,TRUE,TRUE,2026-06-30,Closed,Closed,DEP,HAZARDOUS MATERIALS,OIL SPILL LARGE,BRONX,OTHER,10469,0,0,,,,,,,,
69921525,2026-08-01,18,,FALSE,,FALSE,TRUE,,,In Progress,DPR,MAINTENANCE OR FACILITY,RODENT SIGHTING,MANHATTAN,ONLINE,10033,2,,,missing,,,,,,
70174725,2026-08-24,12,,FALSE,,FALSE,TRUE,,,In Progress,DHS,ENCAMPMENT,(NONE),MANHATTAN,MOBILE,10010,1,,,missing,,,,,,
70232275,2026-08-29,13,2026-09-02,TRUE,4937,TRUE,TRUE,,,Closed,DSNY,GRAFFITI,GRAFFITI,BROOKLYN,UNKNOWN,11249,1,0,,,,day_precision,,,,
