as_of,operational_open,stale_open,stale_share
2024-09-30,163015,7539,0.044203009017671824
2024-10-31,163520,14067,0.07921187924791792
2024-11-30,173547,20042,0.10352860958008978
2024-12-31,175820,28802,0.14075710334177166
2025-01-31,160246,29130,0.15382096992227104
2025-02-28,161596,31448,0.16290586602018192
2025-03-31,156944,35143,0.18295355750258996
2025-04-30,152041,41907,0.21607338049374059
2025-05-31,140282,35691,0.20282088729521006
2025-06-30,138382,41403,0.23029173735294936
2025-07-31,147622,44570,0.23190351315351315
2025-08-31,139405,48771,0.25917757843720773
2025-09-30,132927,51004,0.2772996395387401
2025-10-31,140902,54966,0.28062776972246617
2025-11-30,143811,58696,0.2898467707289131
2025-12-31,148837,60775,0.2899404614239643
2026-01-31,192494,62295,0.24449642645483124
2026-02-28,181879,64777,0.26262081603528803
2026-03-31,183799,67293,0.2680013700157711
2026-04-30,171557,69840,0.28931594013181605
2026-05-31,169808,74516,0.3049884579492805
2026-06-30,167897,77832,0.31673917201469914
2026-07-31,179871,79647,0.3069035673826093
2026-08-31,193837,84050,0.30246107230636915
