role,rule_key,rule_id,flag_value,kind,description,rows_expected,raw_audit_rows
carryin,R03|missing,R03,missing,flag,"close not valid: no close, or no created",71716,71716
carryin,R03|negative,R03,negative,flag,close not valid: before created,1577,
carryin,R05|over_1y,R05,over_1y,flag,"valid close over 525,600 minutes: not valid for resolution",26620,
carryin,R06|day_precision,R06,day_precision,flag,valid close at exactly 00:00:00 (row stays valid),19496,
carryin,R07|status_conflict,R07,status_conflict,flag,status Closed with no valid close: not backlog-eligible,30215,
carryin,R08|after,R08,after,distinct,distinct Agency values,15,
carryin,R08|raw,R08,raw,distinct,distinct raw agency values after R01 (twin),15,
carryin,R09|after,R09,after,distinct,distinct Complaint Key values,167,
carryin,R09|raw,R09,raw,distinct,distinct raw complaint_type values after R01 (twin),181,
carryin,R12|unknown,R12,unknown,flag,borough not one of the five: UNKNOWN,504,
carryin,R13|invalid,R13,invalid,flag,ZIP not 5 digits in 10000-14999: UNKNOWN,11,
carryin,R13|missing,R13,missing,flag,blank ZIP: UNKNOWN,11128,11128
carryin,R17|after,R17,after,distinct,distinct Channel values,5,
carryin,R17|raw,R17,raw,distinct,distinct raw open_data_channel_type values after R01 (twin),5,
carryin,R18|open_invalid_close,R18,open_invalid_close,flag,"status not Closed, close present but not valid: treated as open",1100,
window,R03|after_as_of,R03,after_as_of,flag,close not valid: after the row's own file as_of,1,
window,R03|missing,R03,missing,flag,"close not valid: no close, or no created",197015,197015
window,R03|negative,R03,negative,flag,close not valid: before created,1896,
window,R05|over_1y,R05,over_1y,flag,"valid close over 525,600 minutes: not valid for resolution",8300,
window,R05|zero,R05,zero,flag,valid close under 1 minute: not valid for resolution,151079,
window,R06|day_precision,R06,day_precision,flag,valid close at exactly 00:00:00 (row stays valid),222316,
window,R07|status_conflict,R07,status_conflict,flag,status Closed with no valid close: not backlog-eligible,16703,
window,R08|after,R08,after,distinct,distinct Agency values,16,
window,R08|raw,R08,raw,distinct,distinct raw agency values after R01 (twin),16,
window,R09|after,R09,after,distinct,distinct Complaint Key values,199,
window,R09|raw,R09,raw,distinct,distinct raw complaint_type values after R01 (twin),205,
window,R12|unknown,R12,unknown,flag,borough not one of the five: UNKNOWN,6319,
window,R13|invalid,R13,invalid,flag,ZIP not 5 digits in 10000-14999: UNKNOWN,163,
window,R13|missing,R13,missing,flag,blank ZIP: UNKNOWN,65737,
window,R17|after,R17,after,distinct,distinct Channel values,5,
window,R17|raw,R17,raw,distinct,distinct raw open_data_channel_type values after R01 (twin),5,
window,R18|open_invalid_close,R18,open_invalid_close,flag,"status not Closed, close present but not valid: treated as open",1343,
